"Pattern","Path","Line","Text"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","36","api_fixture_id: fixture.api_fixture_id,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","37","match_date: fixture.match_date,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","38","home_team_name: fixture.home_team_name,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","39","away_team_name: fixture.away_team_name,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","42","const parsedFixtureId = getFixtureIdFromSlug(slug);"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","45","api_fixture_id: fixture.api_fixture_id,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","47","parsedFixtureId,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","50","parsedFixtureId === fixture.api_fixture_id &&"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","51","fixture.api_fixture_id > 0,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","52","home_team_name: fixture.home_team_name,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","53","away_team_name: fixture.away_team_name,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","54","match_date: fixture.match_date,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","75","fixtures: fixtures.length,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","9","const allowedScopes: SyncScope[] = [""teams"", ""fixtures"", ""standings"", ""all""];"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","49","fixtures,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","57","countRows(""fixtures""),"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","81","fixtures,"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","2","import { runFixturesSyncJob } from ""@/lib/sync/jobs"";"
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","7","jobName: ""fixtures-sync"","
"fixture","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","8","job: runFixturesSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","6","} from ""@/lib/sync/cron-auth"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","66","async function getTableHealth("
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","142","async function getLatestSyncLogs("
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","146",".from(""api_sync_logs"")"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","158","async function getRecentProblemLogs("
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","162",".from(""api_sync_logs"")"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","175","async function getTodaySyncTotals("
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","182",".from(""api_sync_logs"")"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","209","export async function GET(request: Request) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","220","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","225","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","230","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","235","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","240","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","244","tableName: ""api_sync_logs"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","260","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","265","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","270","latestColumn: ""last_synced_at"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","275","const [latestSyncLogs, recentProblemLogs, todayTotals, tableSummary] ="
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","277","getLatestSyncLogs(supabase),"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","279","getTodaySyncTotals(supabase),"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","306","latestSyncLogs,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","8","const expected = process.env.SYNC_SECRET;"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","12","return request.headers.get(""x-sync-secret"") === expected;"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","15","async function countRows(tableName: string) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","37","export async function GET(request: NextRequest) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","59","syncLogs,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","69","countRows(""api_sync_logs""),"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","73",".from(""api_sync_logs"")"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","85","syncSecret: Boolean(process.env.SYNC_SECRET),"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","97","syncLogs,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","105","!checks.env.syncSecret,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","108","!syncLogs.ok,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","9","const expectedSecret = process.env.SYNC_SECRET;"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","10","const providedSecret = request.headers.get(""x-sync-secret"");"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sanity\fixture-slugs\route.ts","19","export async function GET(request: NextRequest) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","2","import { runSync } from ""@/lib/sync"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","3","import { getErrorMessage } from ""@/lib/sync/logs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","4","import type { SyncScope } from ""@/lib/sync/types"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","9","const allowedScopes: SyncScope[] = [""teams"", ""fixtures"", ""standings"", ""all""];"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","12","const expectedSecret = process.env.SYNC_SECRET;"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","13","const providedSecret = request.headers.get(""x-sync-secret"");"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","22","function getScope(request: NextRequest): SyncScope {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","25","if (allowedScopes.includes(rawScope as SyncScope)) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","26","return rawScope as SyncScope;"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","32","export async function POST(request: NextRequest) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\route.ts","48","const results = await runSync(scope);"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","8","const expectedSecret = process.env.SYNC_SECRET;"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","9","const providedSecret = request.headers.get(""x-sync-secret"");"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","18","async function countRows(tableName: string) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","32","export async function GET(request: NextRequest) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","54","syncLogs,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","62","countRows(""api_sync_logs""),"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","66",".from(""api_sync_logs"")"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","74","throw new Error(`Failed to load latest sync logs: ${logsError.message}`);"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\sync\status\route.ts","86","syncLogs,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\community\polls\[pollId]\vote\route.ts","19","export async function POST(request: NextRequest, { params }: VoteRouteProps) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\community\subscribe\route.ts","11","export async function POST(request: NextRequest) {"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\bootstrap-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\bootstrap-sync\route.ts","2","import { runBootstrapSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\bootstrap-sync\route.ts","7","jobName: ""bootstrap-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\bootstrap-sync\route.ts","8","job: runBootstrapSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\enrichment-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\enrichment-sync\route.ts","2","import { runEnrichmentSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\enrichment-sync\route.ts","7","jobName: ""enrichment-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\enrichment-sync\route.ts","8","job: runEnrichmentSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\finalization-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\finalization-sync\route.ts","2","import { runFinalizationSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\finalization-sync\route.ts","7","jobName: ""finalization-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\finalization-sync\route.ts","8","job: runFinalizationSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","2","import { runFixturesSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","7","jobName: ""fixtures-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\fixtures-sync\route.ts","8","job: runFixturesSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\full-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\full-sync\route.ts","2","import { runFullSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\full-sync\route.ts","9","jobName: ""full-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\full-sync\route.ts","10","job: runFullSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\live-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\live-sync\route.ts","2","import { runLiveSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\live-sync\route.ts","7","jobName: ""live-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\live-sync\route.ts","8","job: runLiveSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-1\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-1\route.ts","2","import { runMatchContextSync1Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-1\route.ts","9","jobName: ""match-context-sync-1"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-1\route.ts","10","job: runMatchContextSync1Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-2\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-2\route.ts","2","import { runMatchContextSync2Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-2\route.ts","9","jobName: ""match-context-sync-2"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-2\route.ts","10","job: runMatchContextSync2Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-3\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-3\route.ts","2","import { runMatchContextSync3Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-3\route.ts","9","jobName: ""match-context-sync-3"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-3\route.ts","10","job: runMatchContextSync3Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-4\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-4\route.ts","2","import { runMatchContextSync4Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-4\route.ts","9","jobName: ""match-context-sync-4"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-4\route.ts","10","job: runMatchContextSync4Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-5\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-5\route.ts","2","import { runMatchContextSync5Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-5\route.ts","9","jobName: ""match-context-sync-5"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-5\route.ts","10","job: runMatchContextSync5Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-6\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-6\route.ts","2","import { runMatchContextSync6Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-6\route.ts","9","jobName: ""match-context-sync-6"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\match-context-sync-6\route.ts","10","job: runMatchContextSync6Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-1\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-1\route.ts","2","import { runMatchdayDataSync1Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-1\route.ts","9","jobName: ""matchday-data-sync-1"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-1\route.ts","10","job: runMatchdayDataSync1Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-2\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-2\route.ts","2","import { runMatchdayDataSync2Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-2\route.ts","9","jobName: ""matchday-data-sync-2"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-2\route.ts","10","job: runMatchdayDataSync2Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-3\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-3\route.ts","2","import { runMatchdayDataSync3Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-3\route.ts","9","jobName: ""matchday-data-sync-3"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-3\route.ts","10","job: runMatchdayDataSync3Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-4\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-4\route.ts","2","import { runMatchdayDataSync4Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-4\route.ts","9","jobName: ""matchday-data-sync-4"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-4\route.ts","10","job: runMatchdayDataSync4Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-5\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-5\route.ts","2","import { runMatchdayDataSync5Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-5\route.ts","9","jobName: ""matchday-data-sync-5"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-5\route.ts","10","job: runMatchdayDataSync5Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-6\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-6\route.ts","2","import { runMatchdayDataSync6Job } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-6\route.ts","9","jobName: ""matchday-data-sync-6"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\matchday-data-sync-6\route.ts","10","job: runMatchdayDataSync6Job,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\missing-data-backfill\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\missing-data-backfill\route.ts","2","import { runMissingDataBackfillJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\standings-sync\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\standings-sync\route.ts","2","import { runStandingsSyncJob } from ""@/lib/sync/jobs"";"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\standings-sync\route.ts","7","jobName: ""standings-sync"","
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\standings-sync\route.ts","8","job: runStandingsSyncJob,"
"sync","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\cron\team-squads-sync-1\route.ts","1","import { createCronRoute } from ""@/lib/sync/create-cron-route"";"
