"Type","Term","Path","Line","Text"
"UnsafeCopy","token","C:\Users\drogh\projects\worldcup2026-hub\src\lib\supabase\admin.ts","29","autoRefreshToken: false,"
"UnsafeCopy","fundraising","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","18","- No token/presale/fundraising language"
"UnsafeCopy","fundraising","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9b-ux-lighthouse-domain-checklist.md","49","- [ ] No token/presale/fundraising language"
"NeedsReview","\block\b","C:\Users\drogh\projects\worldcup2026-hub\launch\content-publishing-checklists.md","60","- lock"
"KeyOrApiReference","API_FOOTBALL_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","299","hasApiFootballKey: Boolean(process.env.API_FOOTBALL_KEY),"
"KeyOrApiReference","API_FOOTBALL_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\launch-audit\route.ts","84","apiFootballKey: Boolean(process.env.API_FOOTBALL_KEY),"
"KeyOrApiReference","API_FOOTBALL_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","17","apiFootballKey: Boolean(process.env.API_FOOTBALL_KEY),"
"KeyOrApiReference","API_FOOTBALL_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\lib\api-football\client.ts","46","const apiKey = getRequiredServerEnv(""API_FOOTBALL_KEY"");"
"KeyOrApiReference","SUPABASE_SERVICE_ROLE_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","300","hasSupabaseServiceRoleKey: Boolean(process.env.SUPABASE_SERVICE_ROLE_KEY),"
"KeyOrApiReference","SUPABASE_SERVICE_ROLE_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","14","process.env.SUPABASE_SECRET_KEY || process.env.SUPABASE_SERVICE_ROLE_KEY"
"KeyOrApiReference","SUPABASE_SERVICE_ROLE_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\lib\supabase\admin.ts","16","const value = process.env.SUPABASE_SERVICE_ROLE_KEY;"
"KeyOrApiReference","SUPABASE_SERVICE_ROLE_KEY","C:\Users\drogh\projects\worldcup2026-hub\src\lib\supabase\admin.ts","19","throw new Error(""Missing SUPABASE_SERVICE_ROLE_KEY"");"
"KeyOrApiReference","service_role","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\admin\data-health\route.ts","300","hasSupabaseServiceRoleKey: Boolean(process.env.SUPABASE_SERVICE_ROLE_KEY),"
"KeyOrApiReference","service_role","C:\Users\drogh\projects\worldcup2026-hub\src\app\api\health\route.ts","14","process.env.SUPABASE_SECRET_KEY || process.env.SUPABASE_SERVICE_ROLE_KEY"
"KeyOrApiReference","service_role","C:\Users\drogh\projects\worldcup2026-hub\src\lib\supabase\admin.ts","16","const value = process.env.SUPABASE_SERVICE_ROLE_KEY;"
"KeyOrApiReference","service_role","C:\Users\drogh\projects\worldcup2026-hub\src\lib\supabase\admin.ts","19","throw new Error(""Missing SUPABASE_SERVICE_ROLE_KEY"");"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\launch\phase9-launch-qa-checklist.md","69","- [ ] API-Football key is server-only"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\fixtures\page.tsx","197","description=""The fixtures table is empty. Run the protected sync route when API-Football has data available, then this page will populate automatically."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\groups\page.tsx","33","description=""The standings table is empty. Run the standings sync when API-Football has group data available, then this page will populate automatically."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\live\page.tsx","24","description=""Live match status will appear here from Supabase once the sync data marks fixtures as in play. No frontend API-Football calls are used."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\matches\[slug]\page.tsx","11","import { ApiFootballPredictionCard } from ""@/components/matches/api-football-prediction-card"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\players\[slug]\page.tsx","72","No ranking data available yet. Goals, assists and card rankings will appear when API-Football publishes tournament stats."
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\teams\page.tsx","32","description=""The teams table is empty. Run the protected teams sync when API-Football has data available."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\app\teams\[slug]\page.tsx","259","description=""The team exists, but there are no synced fixtures linked to its API-Football team ID yet."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\components\layout\site-footer.tsx","58","<p>Live World Cup data powered by Supabase and API-Football sync.</p>"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\components\leaderboards\leaderboard-table.tsx","24","No data available yet from API-Football."
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\api-football-prediction-card.tsx","15","description=""Prediction data will appear here automatically once API-Football publishes it and the match-context sync has run."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\api-football-prediction-card.tsx","66","API-Football prediction data is informational only and not a guarantee"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\injury-list.tsx","18","No injury data is available yet. This section will update automatically when API-Football provides injury records."
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\components\matches\match-events-timeline.tsx","24","description=""Goals, cards, substitutions, VAR and other events will appear here automatically when API-Football releases match events and the matchday sync has run."""
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\placeholder-data.ts","30","""A clean match calendar will sit here once API-Football is connected."","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\placeholder-data.ts","88","meta: ""API-Football later"","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\placeholder-data.ts","163","""Phase 1 keeps this as a static shell. API-Football fixture data comes later."","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\api-football\client.ts","7","} from ""@/lib/api-football/types"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\api-football\client.ts","64","`API-Football returned non-JSON response from ${endpoint}: ${bodyText}`"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\api-football\client.ts","70","`API-Football HTTP ${response.status} from ${endpoint}: ${bodyText}`"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\api-football\client.ts","76","`API-Football error from ${endpoint}: ${JSON.stringify(data.errors)}`"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-bootstrap.ts","7","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-bootstrap.ts","9","import { runApiFootballFixturesSync } from ""./api-football-fixtures"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-bootstrap.ts","10","import { runApiFootballStandingsSync } from ""./api-football-standings"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-bootstrap.ts","11","import { runApiFootballTeamsSync } from ""./api-football-teams"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-fixtures.ts","7","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-fixtures.ts","258","message: ""API-Football returned no World Cup fixtures."","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-fixtures.ts","283","message: `Synced ${rows.length} World Cup fixtures from API-Football.`,"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-full-ingest.ts","18","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-full-ingest.ts","20","import { runApiFootballBootstrapSync } from ""./api-football-bootstrap"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-match-context.ts","8","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-matchday-data.ts","3","import { fetchWorldCupFixtureDetailsByIds } from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-squads.ts","7","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-standings.ts","8","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-standings.ts","111","message: ""API-Football returned no World Cup standings yet."","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-standings.ts","130","message: `Synced ${rows.length} World Cup standings rows from API-Football.`,"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-teams.ts","7","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-teams.ts","80","message: ""API-Football returned no World Cup teams."","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-teams.ts","99","message: `Synced ${rows.length} World Cup teams from API-Football.`,"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\api-football-top-stats.ts","8","} from ""@/lib/api-football/endpoints"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\fixtures.ts","1","import { apiFootballGetAllPages } from ""@/lib/api-football/client"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\fixtures.ts","2","import type { ApiFootballFixtureItem } from ""@/lib/api-football/types"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\helpers.ts","2","import type { ApiFootballVenue } from ""@/lib/api-football/types"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\helpers.ts","63","source: ""api-football"","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","1","import { runTopStatsSyncJob as runApiFootballTopStatsSync } from ""./api-football-top-stats"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","2","import { runApiFootballMatchdayDataChunkSync } from ""./api-football-matchday-data"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","3","import { runApiFootballMatchContextChunkSync } from ""./api-football-match-context"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","4","import { runApiFootballSquadsChunkSync } from ""./api-football-squads"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","5","import { runApiFootballFullIngestSync } from ""./api-football-full-ingest"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","6","import { runApiFootballStandingsSync } from ""./api-football-standings"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","7","import { runApiFootballTeamsSync } from ""./api-football-teams"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","8","import { runApiFootballBootstrapSync } from ""./api-football-bootstrap"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","9","import { runApiFootballFixturesSync } from ""./api-football-fixtures"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\jobs.ts","24","""Protected cron route is working. Real API-Football sync logic will be added in the next Phase 11 step."","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\standings.ts","1","import { apiFootballGetAllPages } from ""@/lib/api-football/client"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\standings.ts","5","} from ""@/lib/api-football/types"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\standings.ts","49","source: ""api-football"","
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\teams.ts","1","import { apiFootballGetAllPages } from ""@/lib/api-football/client"";"
"KeyOrApiReference","api-football","C:\Users\drogh\projects\worldcup2026-hub\src\lib\sync\teams.ts","2","import type { ApiFootballTeamItem } from ""@/lib/api-football/types"";"
